Sample	aligned_reads	ambig_reads	discarded_reads	meth_chg	meth_chh	meth_cpg	no_alignments	percent_aligned	percent_chg_meth	percent_chh_meth	percent_cpg_meth	strand_ctob	strand_ctot	strand_directional	strand_ob	strand_ot	total_c	total_reads	unmeth_chg	unmeth_chh	unmeth_cpg
E-13.1	15245421.0	4743665.0	0.0	96478221.0	8847514.0	175960313.0	7773711.0	54.9131306907	61.3	1.6	90.3	0.0	0.0	directional	7626674.0	7618747.0	906633215.0	27762797.0	61031628.0	545328528.0	18987011.0
E-14.1	14773240.0	4630394.0	0.0	92046090.0	8358863.0	166911138.0	7930308.0	54.0472354847	61.3	1.6	90.2	0.0	0.0	directional	7386355.0	7386885.0	862124394.0	27333942.0	58030056.0	518631330.0	18146917.0
E-15.1	11810196.0	3666380.0	0.0	74345674.0	6822837.0	134350896.0	6152554.0	54.603194858	61.3	1.6	90.1	0.0	0.0	directional	5907514.0	5902682.0	697136745.0	21629130.0	46946544.0	419899612.0	14771182.0
E-16.1	14894279.0	4598461.0	0.0	95386248.0	8721095.0	173766541.0	7691539.0	54.7900461145	61.3	1.6	90.3	0.0	0.0	directional	7450146.0	7444133.0	894706726.0	27184279.0	60281027.0	537807039.0	18744776.0
E-17.1	21703890.0	6869864.0	0.0	134280563.0	13534146.0	244193855.0	10826656.0	55.0854420043	61.4	1.8	90.3	0.0	0.0	directional	10854908.0	10848982.0	1259243608.0	39400410.0	84488713.0	756531027.0	26215304.0
E-18.1	20914960.0	6676855.0	0.0	127406036.0	12937805.0	230299897.0	10536347.0	54.8543619805	61.4	1.8	90.2	0.0	0.0	directional	10457428.0	10457532.0	1196104294.0	38128162.0	80108602.0	720332929.0	25019025.0
E-19.1	20308227.0	6490411.0	0.0	122611305.0	12487414.0	220849112.0	10463620.0	54.5007954161	61.4	1.8	90.1	0.0	0.0	directional	10154452.0	10153775.0	1149839538.0	37262258.0	77076657.0	692617646.0	24197404.0
E-2.1	7127654.0	1569396.0	0.0	70513093.0	6227820.0	113425918.0	4576053.0	53.6999825888	63.8	1.5	91.7	0.0	0.0	directional	3566602.0	3561052.0	662425983.0	13273103.0	39942695.0	422057507.0	10258950.0
E-20.1	19763594.0	6305249.0	0.0	119697786.0	12311788.0	215933474.0	10196003.0	54.4979399609	61.3	1.8	90.1	0.0	0.0	directional	9889576.0	9874018.0	1125419642.0	36264846.0	75410951.0	678426406.0	23639237.0
E-21.1	12172445.0	3775890.0	0.0	76778738.0	6964937.0	139330065.0	6149749.0	55.083712235	61.1	1.6	90.1	0.0	0.0	directional	6087744.0	6084701.0	725340690.0	22098084.0	48852606.0	438127095.0	15287249.0
